,댓글,출처,,,,라벨링
64239,"@눌변 ---

"" 도대체 선관위는 무슨 짓을 저질렀는가? (선거 부정을 용납하면 민주주의는 사라짐) ""
https://youtu.be/PGcvLdlTUtM 자세한 데이타로 선거부정을 알리고 있슴 ( Scott 인간과 자유이야기 )



"" 수상한 우체국▶관외투표 주작? ""
https://youtu.be/1ljWFsABF74 --- 데이너김



"" 도대체 선관위는 무슨 짓을 저질렀는가? (선거 부정을 용납하면 민주주의는 사라짐) ""
https://youtu.be/PGcvLdlTUtM 자세한 데이타로 선거부정을 알리고 있슴 ( Scott 인간과 자유이야기 )



[재업]투표함 못보게 CCTV도 신문지로 가려버리시고, 국민들에게 꼭 이렇게 하셔야 하나요?
https://www.youtube.com/watch?v=jxdjvNS33cU 수익창출 중단된MaskpackmanTV",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64240,"@눌변 ------
.
=== 2020 415총선 투표함 바꿔치기 ====

1). 투표함 바꿔친거 예시
https://youtu.be/jOVU6PnG2hA

2). 사전투표함 바꿔친거 예시
https://youtu.be/_FgNeKU1wdA
.
우리가 선택을 한게 아니라 우리의 신성한 주권이 강탈 당한것임.
==> 1), 2) 동영상은 한국 유튜브 관리인에 의해 삭제 조치 되었다
.

========= 위, 아래 글들은 모두 몇개월 이전에 적은글들이라 앞뒤가 좀 안맞는 것도 있을테니 이점 양지 바란다. =====",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64241,"@눌변 --
이제와서 이런말을 하면 불복 한다고 할까봐 저어 했는데 저런걸 보니 그걸 얘기 하지 않을수 없네... 내 주변에 지인들은 모두 하나같이 한결같이.. 문재앙을 단죄 한다고 난리들인데.. 결과는? 너무나 현실과 동떨어진 실상이 드러나고.... 선거 당일날.. 투표소에서 하나같이 눈빛이 사나운 사람들만 모여서 투표를 해서 그 사나움이 이미 무엇을 말하는지 한눈에 알아볼수 있었고....

택시안에서... 혹시나해서 물어보니..기사양반도 곧 투표 하려 갈것이라 했는데. 물론... 문재앙 단죄 하겠단.... 그런 경향이 한결 같았는데.. 투표의 결과는 이정도까지 패할것이라곤 꿈에서도 짐작을 불허한 수준이란것.


이런 명명백백한 사례가 벌써 여러곳이나 터져 나오고 있는데. 언론과 정부기관은 조용? 왜? 저들이 모두 한통속이기 때문이다. 즉 선거에서 진게 아니라 개표에서 진것임!! !!!!!!!!!!!

우마오당 한족과 좆족 새끼들아 좋냐? 주작해서 개표에서 이겨서? 실제로는 ㅋㅋㅋㅋ 니네들 진짜 투표수는 합쳐봐도 30% 미만에 불과해 시발롬아 ㅋㅋㅋ


서울지역에서도 니네들은 끾해서 10표 만 얻게 되었던거야. 니네들이 믿는 지역도 모두 한결같이 문재앙 문재앙 타도를 부르짖었다 씨발새꺄 ㅋㅋㅋ이제 뽀록이 나니 미치겠지? 그래 그래 실컷 웃어라.. 올해안에.. 니네 본토가 개창이 나면 ㅋㅋ 그떄 가서도 웃을수 있을까? 씨입새끼들아",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64242,"@눌변 -----
.
=== 선거인단에 종사하고 있는 모든 공무원들에게... 또 다른 공무원들에게 마지막으로 고한다 =====
.
.
. =>이글은 선거일 1주일전에 적었던 글이다. 또 이 일베를 지켜보는 수많은 선거관리인단 소속의 한국인들
. 에게 앞으로 니들앞에 생길 일들이니 참고 하기 바란다.
.
.
니네들이 지금 무슨짓을 하는지... 니들 스스로 잘 알고 있을것이다.
지금에서 하는 말이지만 그동안 니네들이 한 행위 단 하나도 빠뜨리지 않고 모두 다 천도(天度)에 모두 기록 되있다. 니네들이 아무리 주변과 자신 스스로를 속여도... 니들 뇌속에 담긴 기억들 모두가 영상으로 기록 되 있기 때문이다.

--
좋아 좋아.. 얼마던지 할바를 다해서..해야 하겠지? 그러나... 니네들이 믿고있는 니들 뒤배경도 그렇게 생각하고 있을까? 니들이 믿는바의 뒷배가 어디냐? 니들이 같은배에 타서 배반불가라고 자신만만 하겟으나... 중공이 괴멸하고.. 그 중공에 목매달고 있는 문재앙 정권이... 또 그 문재앙에 기대고 있는 이땅의 모든 세력과 조직들이.. 단계적으로 붕괴 하는중인데.. 니들이 한짓이 들켜도 니들에게 돌아갈 책임은 윗선이고.. 저들 지시에 따른것이니 니들 책임은 많지 않다고? 생각 해볼수 있겠지?",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64243,"@눌변 -----
니들에게 피해를 입은 사람들이 너무나 많아서... 요즘 들어 니들이 말하는 바의 "" 징벌적 법집행 ..."" 참으로 좋은말을 했더구나 ㅋ 그 징벌적 처벌로.. 니네들 상층부 부터 하층의 모든 가담한 종자들 모두는 새로운 법에 의해 두번다시 그런 악행을 하지 못하게 본보기로 처벌 하게 되 있다. 아 이건 국내 한정된것이 아니라... 전세계적 경향이야. ㅋㅋ 그래서 니들은 국가적 ,지역적으로 국한된게 아니라.. 전 인류적관점에서 도살 대상이 되는거야.. 아직 아는사람들만 알고 있는 소수의 의견에 불과 하지만 이건 ㅋ 인류진화 막판 단계에서 내려질 인간의 최종판결에 해당한다. ㅋㅋ 아직은 비현실적으로 여겨서 니들이 악법까지 만들어서 세력을 등에 얻고 갖은 비인간적행위를 하고 있지만.ㅋㅋ

곧 니들의 곡소리가 천추에.. 구천에 까지 울러 퍼질날이 얼마 남지 않았다. ㅋㅋㅋ난 그래.. 솔직히 니네들이 후회하고 반성 하는걸 바라지 않아..진짜 그래... 선량한 사람들이 당한 고통에 약해져서 니들을 교화 하는 모양새를 취하고는 있다만..... 마음 한구석은 진짜로.. 니네들이 현재 보다 더 이 대한민국을 갈갈이 완전하게 초토화 시키고 ... 찟어 발겨놓기를 바라고 있어 ㅋ왜? 그건 우파들도 니네들에 의해 많이 변질이 되어서 니들과 구분이 거의 할수 없는 상태이기 때문이고.. 가망이 없기 때문이다. 그래서 "" 나 혼자 예외 행동을 해도 누가 알겠어? ㅋㅋ나만 일케 표시 나지않게 이권에 밝힌다고 누가 뭐라 하겠어? ㅋㅋ"" 이런 마음 가짐이기 때문에.. 니들과 거의 차이를 발견할수 없기 때문이지",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64244,"@눌변 그래서 솔직히.. 선량한(?) 사람 자체도 거의 믿지 않아.. 저들 역시 같은 소양을 가진 종자들이 현재와 같은 현실을 만들어진 원인 제공에 일정부분 책임이 없다손 할수 없는거지.. 그래서 솔직한 내 바램은 가급적 회개 하거나 세상변화를 알아내지 못하길 학수고대 하는 거야 ㅋㅋㅋ 왜? 그래야 한꺼번 종자자체를 전부 거덜낼 명분이 서는거거덩? ㅋㅋㅋㅋㅋ 그래야 진짜로..착하고.. 제대로 된 종자들만 남아서.. 나머지 진화발전에 진짜로 발전 가능성이 있기 때문이고.. 그외는 모조리 쭉쟁이거덩? ㅋㅋ 니들같은 종자들은 니네들이 있을곳에 .. 니들이 만든 세상속에서 영원히 가둬 둬야 맞는것이거덩? ㅋㅋㅋ 그걸 요즘에서 뼈저리게 느껴서.. 솔직히.. 우파들의 꺠어남도 그닥 반갑지만 않어.. ㅋㅋ걍 니들이 개판치고


세상을 할수 있는 모든 것을 다해 망쳐놓기를 바라고 있어.. ㅋㅋ 그래야 진짜로 구하고 건질사람들을 알수 있는 거거덩? ㅋㅋㅋ 니네들 태반은 이미 진화발전을 포기한 종자들이고 .더이상 기대할게 남아잇지 않아 ㅋㅋㅋ 그냥 쓰레기 일뿐이지? 그냥 잉여라고 ㅋㅋㅋ 아무짝에도 쓸데가 없어서 그냥 없어져 주는게 모든 현생들에게 도움이 될 정도란 거지.. 그래서 솔직히 내 생각은 더이상 니들이 개과천선 하고.. 회개 하고..뉘우치기를 바라지 않아. 그냥 현재 처럼 살아가길 기대 할뿐이야.. ㅋㅋㅋ반복 하는 말이지만.. 니들은 희망이 없어.. ㅋ 그래서 그냥 끝까지 이대로 쭉 ~ 계속하길 그게 진짜 내 본 마음이랜다.. ㅋㅋㅋ

그러니 내가 하는말도 전혀 신경 쓸 필요가 없고 니네들이 하고 있는 전라도 카르텔과 친중 카르텔 지시에 따라 할바를 다해 봐 안말려 ㅋㅋㅋㅋ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64245,"@눌변 -----
그런데 왜? 니들에게 이런말을 하냐고? ㅋㅋㅋ이건 내 할바이지? ㅋ 니들은 니들일을 하고 난 내일을 하는거지? 으흐흐 그래서 난중에 뒤탈이 없게 하기 위함이다. 왜? 난 분명히.. 학실(? ㅋㅋ)하게 니들에게 충분히 마르고 닳토록 경고를 했기 때문이란 것이다 알겠느냐? ㅋㅋㅋ

그런 폐습과 악종들 세상판이... 시대가 바꿔서 모든게 하나같이 백일하에 드러나는 세상인데... 니들의 믿음과 조직결속이 언제까지 갈듯 할까? 엉? "" 그런 꼬임에 한두어번 우리가 당해본게 아니니 쓸데없는 개수작 하지 말라고? ㅋㅋㅋ"" 그래그래... 개수작은 그만두고.. 그냥 현실만 알려주마.. 니들이 믿던 안믿던... 니들이 그토록 신앙시 했던 조직과 세력들이 모두 망하는 중이다.. 엉? ""애초에 그런 조직과 세력은 믿지 않았다고? "" ㅋㅋㅋ 얄미운 새끼.. ㅋㅋ 좀 기달려봐 썌꺄 내말 끝까지 듣고 지랄들 해 ㅋㅋ""

자자.. 빙 둘려서 얘기 하는 것 보다 바로 본질을 말해주마... 니네들이 돈을 가지고.. 달라로 가지고 튄다고? 니들 미국과 서방 세계는 못가지? 왜? 니네들은 모두 범죄자로 공개가 될것이니까. ㅋㅋ 글믄.. 중공? 에이... 선수끼리 왜이래? 니네들이 살곳이 아니잖아. ㅋㅋ아랍? 견딜수 없지.. 돈과 술과 계집이 하루라도 없음 발병이 나니 ㅋㅋ 그럼 어딜까? 끽 해봐짜.. 필리핀과 동남아시아 외딴 지역이지? 응? 그런데서 좋게 살수 있다고? ㅋ 피엉씬ㅋㅋㅋ 니네들 베트남에서 베트콩과 베트남 양쪽 이간질 하면서 돈벌었던 베트남화교들 말로가 어떤지 알기나 하냐? 중공본토에서 자국민을 부정 당했고, . 공산베트남에 의해 추방당해 ㅋ 물론, 돈 과 재산을 탈탈 털려서 빈몸으로..

결국 그 어떤 나라에서도 받아주길 거부 당해서.. 베트남과 중공간 국경지역 밀림지역에 추방 당했다 ㅋ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64246,"@눌변 --

그곳에서 뭣 하고 살았을까? 그래 그래.. 농사 짓고 살면 다행인데.. 놀던 가락이 있어서 ㅋ 절대로 그런짓을 못하지? 죽었음 죽었지? ㅋㅋ안그래? 그래서 그들 전부 양귀비(마약)을 키웠고.. 자신들 가족들이 ㅋ 저의 엄마 , 누이동생.. 딸들이 매춘을 하면서.. 연명 하고 있다는 소식이 벌써.. 30년 이전이란다.. ㅋ 이정도 하면.. ""..에이~ 씨발 헛소리 라고? ."" 니들은 다 살수 있는 구멍을 하나 가지고 있다고? ㅋㅋㅋ 그래봐짜 길어야 10년이야 병신들아 ㅋㅋ 니들 가진돈이 100억이나 되냐? 달러로.. 백만달러 이상이냐?

그돈으로 끽 해봐짜.. 10년이라도..또... 니들이 돈이 많다는 걸 알면 주변에서 니네들을 냅둘까? ㅋㅋㅋ 한국 사회처럼 치안이 잘 되 있는게 아니라.. 아니 치안이 문제가 아니라.. 딴나라 인간들은 기본적으로 한국와 인성자체가 틀려.. 사람 목숨은 그들에겐 파리 목숨이야.. ㅋ 그들에게 천달라만 주면.. 일가족을 모두 몰살 시켜 ㅋㅋㅋ

자... 이제 결론을 내자.. 니들이 갈수 있는 세상이 이제는 없다. 이전 세상이면 또 모를까.. 이제 전세계적으로 3차대전으로 급속하게 비화발전 중에 있는데.. 니들이 돈이 아무리 많아도 휴지 이고... 니들을 위해 목숨을 대신 해줄 종자들이 아무데도 없다는 뜻이다.. 이 지구상 어디라도 말이다.. 그러면 결론은 나왔지? 글타고.. 니네들이 이곳에 살아남을수 있을까? ㅋㅋ
--

니네들 한짓이 모두 다 공개적으로 다 알려져 있는데.. ㅋㅋ 결국.. 얕은 니네들 수작에 스스로 꾀에 넘어가서.. 두번다시 회복 불가한 나락에.. 겨우 푼돈(...백만달러는 푼돈에 불과 하다...)에 니 목숨과 니들 가족이 모조리 떼죽음을 당한다.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64247,"@눌변 그러니.. 앞으로 니네들이 한 행동에 대해서는 그 어떤 사람들이 니네들 개개인을 두고 말하지 않아. 그냥 도매급으로.. 일괄 처리가 될 대상이다.. 그러니.. 현재 니들이 하는 행동을 심사 숙고 해서.. 뒤 늦지 않게... 공무원의 기본 양심을 가져서.. 이나라를 더이상 나락을 떨어뜨리지 말것이다. 그게 니들이 살수 있는 유일 무이한 길이다.


.
*
*
.== 그래도 한국인인 걸 자각하고 있고, 결정적 증거를 가지고 있는 선거인단 실무자들에게 호소를 하며
* 이건 선거 후 적은글이다
*

이글은 니들 양심에 권하는 바의 글이다 . 이미 갈데까지 간 종자들, 즉 니네들에게 지시를 했던 중공당교의 추종자들과 정치권 상층부에 있고 이런 선거부정을 중공과 기획했던 종자들은 대상이 아니고 그 실행을 어쩌면 항거불가능 한 상황에서 직장과 생활을 포기 하지못해서 어쩔수 없이 선거부정임을 알지만 따를수 밖에 없었던 선거관리공단과 선거관리인들에 대해 적는것이다.

-
니들이 내말을 듣던 말던 대세에 영향은 전혀없다. 어쨌던 드러날 사실이고 결정된 수순에 따라 현실에서 드러날 일들이 조금씩 달라져 갈뿐 결국.. 니네들이 모의한 모든 중공당교들과 합작모의한 21대총선 선거부정에 대한 증거를 니들은 잘 알고 있다. 그걸 니들이 누가 먼저일지 모르지만 그증거를 가지고.. 대한민국 국민들에게 전달을 해야 한다. 이건 진짜 대한민국 국민들 위해서가 아니라.. 니네들 가족과 피붙이들과 니네 자신들을 위해서 란 뜻이다.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64248,"@눌변 --
이것도 사실 얼마 남아있지 않아... 나중에 때 늦게 .. 뒤통수에 뒤통수를 당해서 니네들이 자수를 하면 그 죄가 적어지는게 아니란 뜻이다. 즉 니네들이 하루 이틀... 이렇게 미적 거리고 미루는 과정에서 얼마나 많은 국민들이 피와 고통에 빠져서.. 고초에 ..고통에 있을떄.. 또 결국은 국민들이 모두 살처분 되어질떄.. 니네들 책임이 없다 할수 있을까? 그래서 니네들 모두가 나중에 그 죗 값을 두고 두고 치르야 한다는 거야.. 이게 그냥 현실의 법정에서 치르야 하는 일반적인 형벌 개념이 아니라.. 니네들 영혼과 니네 권속과 일가족 전체 가계(家係)에 해당하고 이번에 잘못 되면 완전히 니네들 인간된 몸이 없어져 버리고.. 니네 백과 혼이 마르고 닳토록.. 무간지옥에서 수백의 겁에 걸쳐.. 태어나고 또 태어나서.. 니네들 영과 혼이 형용 가능한 모든 고와 통을 모두 겪은 후에 존재가 사라지는 끔찍한 것이다.


이런것은 이번 생으로 인간계 전체가 모두 단 하나도 예외없이 판결을 받는 시간대 이기 때문이다.


--
이것까지 읽고 비웃슴과 비아냥으로 날 욕하고 비난 해도 좋아.. 결국 이건 현존하는 지구촌의 모든이들이 피해갈수 없는과정이란 것과 실제로 니네들이 거쳐야 하는 단계이기 때문이다.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64249,"@눌변 길게 설명을 할 필요도 없다. 이 현실이 이상하고 니들이 지지하고 믿었던 더민당과 문재앙이.. 대한민국 대통령이면 그래도 냅두고 있어도 좋고.. .현실이 점점 니네들이 믿고 있던 그 정당이 아니고.. 대한민국이 짱꼴라에게 넘어가는 것은 견딜수 없는 사람들이면.. 내말을 듣고 더 늦기전에.. 그 증거를 가지고 와라.. 그게 살수 있는 마지막 단계이다. 물론, 이런말을 대수롭지 않고.. 들딱들 헛소리로 치부해도 좋고... 짱꼴라들의 속임수에 따른것도 좋아.. 이 모든 것은 모두 니네들 판단이고 선택일 뿐이다.

앞서서 내가 다른곳에서 지적했듯이.. 결정적 데이타는 모두 중공본토에 있는걸 알고 있을 것이다. 그런데 니네들중에서도..중공 본토에 .. 있는 중앙통제장치에 교신한 실시간 메시지, 이속에는 데이타들이 있다. 이 데이타가 니네들 곳곳에 있는 더미 서버(DUMMY SERVER)에 기록되 있다. 이게 결정적 증거에 해당하고.. 중공 본토에서 보내준 ... 선거투표 결정 ( 누구를찍어야 하는것과 선택지와 이사람의 주민번호등등 기록)이 전국 각지에 있는 선거 서버함에 모여있다는 것과..또 니네들이 아니면 한국에서 지역별로 모와서 보관하고 있는 본문에 적혀져 있는 중간 서버 본체들을 모우는곳..그곳에 있는 증거들..

--
이것만 있어도 충분하다..


자... 너무 늦지 않게 자수 하길 바라고.. 너무 늦지 않게. .대한민국 국민된 자격을 다시 되찾기 바란다.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64250,@눌변 왜이렇게 길게 쓰냐 멍청아,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64251,@눌변 너무 늦지 않게... 병원 가봐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64252,압승을 했는데! 그것이 뽀록이나면 감반행!,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64253,진짜 오버랩 좆되넼,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64254,"이낙연 표정을 분석하자면
하 시발넘들 적당히 주작했어야지 라는 표정 ㄹㅇ
ㅂㅂㅅ ㄴㅇㅁ ㅅㅈㅍ ㅈㅈ ㅎㅇ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64255,@린딘 적당히해서 180석임? ㅋㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64256,도둑 제발 저려서~~ 도둑놈들 쫌 잡자 지구를 다훔쳐간다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64257,"이거 투표 진행중에 접전인곳 보면서 지은 표정이라서 ㅁㅈㅎ
가짜뉴스 선동 일베",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64258,쟤들은 중국이 무서워서 저러는 거임,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64259,"@XVlDEOS ㅇㅇ 짱깨 가 다 해줘서 좀 겁이 난 표정. 바이든도 우승기대 안하고 참관하고 있는데 대상 발표나니까 멋적어서 웃는 표정이더라
결사항전후 승리 포효 감이 아니었음",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64260,@XVlDEOS 짱깨가 생사여탈권 쥐고있는거지ㅋㅋ뺏지는 달지만 꼭두각시일뿐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64261,저때 표정은 씨발 좆뗐다... 너무 티나는데.. 근데 개돼지 국민들은 아무 생각없이 그냥 받아들였다.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64262,@좌파척살오함마 병신같은 국민들,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64263,나중에 315 부정선거처럼 사형당할까봐 걱정이 앞서니 표정에 그대로 나타난거지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64264,"ㅅㅂ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

혹시 잘못 일 꼬일까봐 조용 ㅋㅋㅋㅋㅋ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64265,진짜 180석 가져간 새끼들 표정이 아니네 저건 ...,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64266,"그래도 이게 얼마나 어마어마한 짓거린지 정도는 아는 새끼들인 거 같네..시발..이걸 최소한의 양심, 죄의식은 남아있는 거라고 해야 되는 거냐? 나라꼴이 조까치 돌아가니 이제 가치판단마저 혼돈스럽다..",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64267,양정철 ㅋㅋ 너만 그런거 아니라고 안심하지마~~ 역사책에 대역적으로 기록될거야,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64268,@익명3de422 뭐래 이 븅딱 세끼는 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64269,@익명3de422 뭔 개소리,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64270,존나게 불안할끼야,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64271,도둑이 제발 저인다고 지은죄가 있기에 아가리 묵념하는거 아니노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64272,아 시발 너무나갔네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64273,"예상 짤, 내용.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64274,짱개발 부정선거,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64275,안들킨거보고 얼마나 국민이 병신 같을까,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64276,@울엄마추미애 그러니 지들 멋대로 국가운영 하잖아 씹재앙,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64277,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64278,"또 또 근거없는 부정선거론으로
자유민주주의를 위협하는 징글징글한 시진핑하수인 홍어좆족새끼들 ㅅㅂ
싹다 잡아다 틀니압수하고 삼청교육대로 보내든가해야지 진짜",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64279,@말썽쟁이노무현,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64280,@말썽쟁이노무현 노무현은 놀림감으로서 좋아하지 그 자체로서는 극혐이다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64281,@말썽쟁이노무현 근거없는? ㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64282,@그레이스두환 근거없지 그럼 있노?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64283,@말썽쟁이노무현 뇌가없지니가ㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64284,"@한족똥까시딜도조선족 뇌가 없는건 부정선거여론을 조성해서 민주주의를 훼손하는
좆족짱깨 시진핑댓글부대원 아니야?
닉을보니 반중주의자같은데 시진핑을 두둔하는거야?",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64285,@말썽쟁이노무현 ?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64286,"씹틀니새끼들 아직 100퍼센트 오피셜로 뜬게 아니니까 조용한거고

오피셜 뜨자마자 느그 트재앙 욕하면서 바이든사단 응딩이 흔들고 다닐거다 븅신새끼야 ㅋㅋㅋㅋ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64287,"바이든이 개정은 안만나 준다고 했었지

핵 쳐 없애지 않으면

ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64288,"@좆정은독침목표 누구나
돈 받기전까지는 강경하지",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64289,@좆정은독침목표 나한테 1억만 송금해라 2000만원 만들어 줄게. 8000은 내가 쓰고 ㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64290,180석에 저 표정은 아무리 생각해봐도 200석 세팅인데 180나와서 ㅈ됐다 하는 표정같음 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64291,https://youtu.be/3P36qnU-Ozc,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64292,180석 두고 왜 저 렇게 침묵했을까,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64293,"너무 적절한 짤, ㅇㅂ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64294,"진짜 실제로 보면서도 위화감 존나 들었던 상황이었음
미국부터 바로잡고 그 다음 중공 없애고 그 다음 415 바로 잡아야함",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64295,@짜파먹자 존나 기괴한 느낌,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64296,당하고도 가만있는 미통당병신들 vs 제정신 트럼프,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64297,"미통당 ㅅㄱ들이 ㅂㅅ인거지. 민주당 ㅅㄱ들은 폭동 날까봐 ㅈㄴ 쫄아서 저러고 있었는데, 걍 니네 승리! 하고 묻어버림. ㄱㅅㄱ들",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64298,기괴한 승리이기 때문이지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64299,아니까,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64300,ㅋㅋ 저딴짓하면 앞으로 공화당은 절대 정치못힌다 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64301,"@자매님 좌파들하는 짓거리봐라. 그리고 저게 법적으로 문제없단다.
이미 트럼프는 부정선거대비를 하고 있었다 이말이지",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64302,@사막의라이언 그러니까 증거를 명확하게 밝혀내면 되겟지만 그렇지못하고 공화당빨로 밀어부치면 미국인들이 보고만있겠냐 ㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64303,@자매님 솔까 미국인이 아니고 니거 짱깨 pc충 페미..좌빨이겠지.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64304,@자매님 느그재앙이하듯이 일단먹으면 끝임. 콩사탕멸살시키고 죽으면댐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64305,"@사막의라이언 아니,시바꺼 그사람들은 미국인아니냐고 백인남성만 미국인이냐",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64306,@자매님 백인 남자도 콩사탕이면 같이 뒤지는거임,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64307,@자매님 짱깨는 미쿡한테 관심끄자해,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64308,@자매님 짱깨들 보들보들 하노이기.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64309,"@자매님 대체 선거를 조작하면 국민의 주권은 어디로 가는거냐? 저게 바로 독재로 가는 지름길이지 우리의 주권을 양도해서 대표를 뽑아 권한을 준다는게 자유 민주주의 아니냐?

저게 정말 중국하고 커넷션이 있어서 벌인 일이라면 민주당 부정선거 관련자들 다 사형 시켜야 되",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64310,@하무납트라 중국관련 찾아내면 다행이지만 못찾으면?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64311,"@자매님 부정선거 했으니까 다 깜빵가야지 누가봐도 부정 선거잖아 이게 재판으로 가서 무죄가 나올꺼라고 생각하는거냐?

거기가 한국같은 빨갱이 국가냐?",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
64312,@하무납트라 누가봐도 납득할민한 증거로 판결나면 가능하지만 중국이든 그림자정부든 등신도아니고 미국상대로 저지랄한거면 절대못잡는다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
